Hourly measurement data supplied by UK-air on 13/02/2025
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"Dundee Mains Loan",
Latitude,,56.475434,,
Longitude,,-2.959861,,
Site Type,,Urban Background,,
Zone,,North East Scotland,,
Agglomeration,,#N/A,,
Local Authority,,"Dundee",,
Date,Time,"Nitrogen dioxide",Status
2024-01-01,01:00:00,15.90871,V ugm-3
2024-01-01,02:00:00,11.39067,V ugm-3
2024-01-01,03:00:00,6.19422,V ugm-3
2024-01-01,04:00:00,6.11006,V ugm-3
2024-01-01,05:00:00,7.01216,V ugm-3
2024-01-01,06:00:00,6.28977,V ugm-3
2024-01-01,07:00:00,5.14307,V ugm-3
2024-01-01,08:00:00,7.24726,V ugm-3
2024-01-01,09:00:00,9.20811,V ugm-3
2024-01-01,10:00:00,4.23336,V ugm-3
2024-01-01,11:00:00,2.88604,V ugm-3
2024-01-01,12:00:00,3.53786,V ugm-3
2024-01-01,13:00:00,4.25265,V ugm-3
2024-01-01,14:00:00,6.4486,V ugm-3
2024-01-01,15:00:00,6.08916,V ugm-3
2024-01-01,16:00:00,9.57895,V ugm-3
2024-01-01,17:00:00,27.20981,V ugm-3
2024-01-01,18:00:00,33.46815,V ugm-3
2024-01-01,19:00:00,39.56738,V ugm-3
2024-01-01,20:00:00,28.57698,V ugm-3
2024-01-01,21:00:00,22.37897,V ugm-3
2024-01-01,22:00:00,10.74304,V ugm-3
2024-01-01,23:00:00,3.67141,V ugm-3
2024-01-01,24:00:00,2.61267,V ugm-3
2024-01-02,01:00:00,1.77453,V ugm-3
2024-01-02,02:00:00,4.06401,V ugm-3
2024-01-02,03:00:00,1.3787,V ugm-3
2024-01-02,04:00:00,1.0422,V ugm-3
2024-01-02,05:00:00,1.23341,V ugm-3
2024-01-02,06:00:00,1.13213,V ugm-3
2024-01-02,07:00:00,1.95044,V ugm-3
2024-01-02,08:00:00,2.42468,V ugm-3
2024-01-02,09:00:00,2.70771,V ugm-3
2024-01-02,10:00:00,6.65072,V ugm-3
2024-01-02,11:00:00,9.42945,V ugm-3
2024-01-02,12:00:00,7.8898,V ugm-3
2024-01-02,13:00:00,11.95352,V ugm-3
2024-01-02,14:00:00,9.14023,V ugm-3
2024-01-02,15:00:00,12.15934,V ugm-3
2024-01-02,16:00:00,9.35414,V ugm-3
2024-01-02,17:00:00,27.21142,V ugm-3
2024-01-02,18:00:00,31.69728,V ugm-3
2024-01-02,19:00:00,25.24826,V ugm-3
2024-01-02,20:00:00,28.74402,V ugm-3
2024-01-02,21:00:00,25.26958,V ugm-3
2024-01-02,22:00:00,19.60568,V ugm-3
2024-01-02,23:00:00,17.23585,V ugm-3
2024-01-02,24:00:00,13.65446,V ugm-3
2024-01-03,01:00:00,12.47076,V ugm-3
2024-01-03,02:00:00,14.39884,V ugm-3
2024-01-03,03:00:00,19.63742,V ugm-3
2024-01-03,04:00:00,16.67225,V ugm-3
2024-01-03,05:00:00,15.00852,V ugm-3
2024-01-03,06:00:00,13.66262,V ugm-3
2024-01-03,07:00:00,16.20114,V ugm-3
2024-01-03,08:00:00,23.30453,V ugm-3
2024-01-03,09:00:00,37.42317,V ugm-3
2024-01-03,10:00:00,43.27102,V ugm-3
2024-01-03,11:00:00,37.14073,V ugm-3
2024-01-03,12:00:00,28.47945,V ugm-3
2024-01-03,13:00:00,18.72095,V ugm-3
2024-01-03,14:00:00,10.92277,V ugm-3
2024-01-03,15:00:00,13.58129,V ugm-3
2024-01-03,16:00:00,7.00021,V ugm-3
2024-01-03,17:00:00,8.43121,V ugm-3
2024-01-03,18:00:00,4.7543,V ugm-3
2024-01-03,19:00:00,3.65808,V ugm-3
2024-01-03,20:00:00,4.99343,V ugm-3
2024-01-03,21:00:00,6.71702,V ugm-3
2024-01-03,22:00:00,9.78727,V ugm-3
2024-01-03,23:00:00,8.73699,V ugm-3
2024-01-03,24:00:00,13.422,V ugm-3
2024-01-04,01:00:00,16.12839,V ugm-3
2024-01-04,02:00:00,11.27475,V ugm-3
2024-01-04,03:00:00,6.68379,V ugm-3
2024-01-04,04:00:00,7.78431,V ugm-3
2024-01-04,05:00:00,7.97383,V ugm-3
2024-01-04,06:00:00,8.64558,V ugm-3
2024-01-04,07:00:00,14.2401,V ugm-3
2024-01-04,08:00:00,18.81856,V ugm-3
2024-01-04,09:00:00,28.0177,V ugm-3
2024-01-04,10:00:00,21.4737,V ugm-3
2024-01-04,11:00:00,22.26275,V ugm-3
2024-01-04,12:00:00,20.55056,V ugm-3
2024-01-04,13:00:00,16.64573,V ugm-3
2024-01-04,14:00:00,16.85025,V ugm-3
2024-01-04,15:00:00,20.71098,V ugm-3
2024-01-04,16:00:00,27.39379,V ugm-3
2024-01-04,17:00:00,36.05249,V ugm-3
2024-01-04,18:00:00,49.81892,V ugm-3
2024-01-04,19:00:00,57.96456,V ugm-3
2024-01-04,20:00:00,53.80052,V ugm-3
2024-01-04,21:00:00,35.72888,V ugm-3
2024-01-04,22:00:00,43.33965,V ugm-3
2024-01-04,23:00:00,40.7577,V ugm-3
2024-01-04,24:00:00,39.57551,V ugm-3
2024-01-05,01:00:00,39.82737,V ugm-3
2024-01-05,02:00:00,21.61305,V ugm-3
2024-01-05,03:00:00,17.49672,V ugm-3
2024-01-05,04:00:00,12.86252,V ugm-3
2024-01-05,05:00:00,12.96013,V ugm-3
2024-01-05,06:00:00,15.46558,V ugm-3
2024-01-05,07:00:00,19.2661,V ugm-3
2024-01-05,08:00:00,31.93516,V ugm-3
2024-01-05,09:00:00,41.55854,V ugm-3
2024-01-05,10:00:00,44.48296,V ugm-3
2024-01-05,11:00:00,42.61171,V ugm-3
2024-01-05,12:00:00,31.88684,V ugm-3
2024-01-05,13:00:00,20.81776,V ugm-3
2024-01-05,14:00:00,14.61005,V ugm-3
2024-01-05,15:00:00,19.33066,V ugm-3
2024-01-05,16:00:00,24.47839,V ugm-3
2024-01-05,17:00:00,35.70383,V ugm-3
2024-01-05,18:00:00,27.39922,V ugm-3
2024-01-05,19:00:00,20.00032,V ugm-3
2024-01-05,20:00:00,27.61991,V ugm-3
2024-01-05,21:00:00,28.95284,V ugm-3
2024-01-05,22:00:00,27.83127,V ugm-3
2024-01-05,23:00:00,18.8525,V ugm-3
2024-01-05,24:00:00,14.6207,V ugm-3
2024-01-06,01:00:00,11.52883,V ugm-3
2024-01-06,02:00:00,5.47705,V ugm-3
2024-01-06,03:00:00,10.32665,V ugm-3
2024-01-06,04:00:00,6.35512,V ugm-3
2024-01-06,05:00:00,3.82042,V ugm-3
2024-01-06,06:00:00,3.20151,V ugm-3
2024-01-06,07:00:00,4.3454,V ugm-3
2024-01-06,08:00:00,5.77666,V ugm-3
2024-01-06,09:00:00,10.51266,V ugm-3
2024-01-06,10:00:00,11.8793,V ugm-3
2024-01-06,11:00:00,10.56013,V ugm-3
2024-01-06,12:00:00,15.75564,V ugm-3
2024-01-06,13:00:00,14.65593,V ugm-3
2024-01-06,14:00:00,9.73105,V ugm-3
2024-01-06,15:00:00,9.0498,V ugm-3
2024-01-06,16:00:00,14.06015,V ugm-3
2024-01-06,17:00:00,22.61141,V ugm-3
2024-01-06,18:00:00,28.99212,V ugm-3
2024-01-06,19:00:00,29.71527,V ugm-3
2024-01-06,20:00:00,15.35187,V ugm-3
2024-01-06,21:00:00,13.63138,V ugm-3
2024-01-06,22:00:00,16.55481,V ugm-3
2024-01-06,23:00:00,13.72903,V ugm-3
2024-01-06,24:00:00,6.54855,V ugm-3
2024-01-07,01:00:00,4.3322,V ugm-3
2024-01-07,02:00:00,4.143,V ugm-3
2024-01-07,03:00:00,4.11167,V ugm-3
2024-01-07,04:00:00,3.14962,V ugm-3
2024-01-07,05:00:00,9.13933,V ugm-3
2024-01-07,06:00:00,10.72431,V ugm-3
2024-01-07,07:00:00,7.17285,V ugm-3
2024-01-07,08:00:00,15.13458,V ugm-3
2024-01-07,09:00:00,17.17839,V ugm-3
2024-01-07,10:00:00,10.87898,V ugm-3
