,Date,Time,Nitrogen dioxide,Status,Day_of_week,Season
0,2024-01-01,01:00:00,15.90871,V ,Monday,Winter
1,2024-01-01,02:00:00,11.39067,V ,Monday,Winter
2,2024-01-01,03:00:00,6.19422,V ,Monday,Winter
3,2024-01-01,04:00:00,6.11006,V ,Monday,Winter
4,2024-01-01,05:00:00,7.01216,V ,Monday,Winter
5,2024-01-01,06:00:00,6.28977,V ,Monday,Winter
6,2024-01-01,07:00:00,5.14307,V ,Monday,Winter
7,2024-01-01,08:00:00,7.24726,V ,Monday,Winter
8,2024-01-01,09:00:00,9.20811,V ,Monday,Winter
9,2024-01-01,10:00:00,4.23336,V ,Monday,Winter
10,2024-01-01,11:00:00,2.88604,V ,Monday,Winter
11,2024-01-01,12:00:00,3.53786,V ,Monday,Winter
12,2024-01-01,13:00:00,4.25265,V ,Monday,Winter
13,2024-01-01,14:00:00,6.4486,V ,Monday,Winter
14,2024-01-01,15:00:00,6.08916,V ,Monday,Winter
15,2024-01-01,16:00:00,9.57895,V ,Monday,Winter
16,2024-01-01,17:00:00,27.20981,V ,Monday,Winter
17,2024-01-01,18:00:00,33.46815,V ,Monday,Winter
18,2024-01-01,19:00:00,39.56738,V ,Monday,Winter
19,2024-01-01,20:00:00,28.57698,V ,Monday,Winter
20,2024-01-01,21:00:00,22.37897,V ,Monday,Winter
21,2024-01-01,22:00:00,10.74304,V ,Monday,Winter
22,2024-01-01,23:00:00,3.67141,V ,Monday,Winter
23,2024-01-01,24:00:00,2.61267,V ,Monday,Winter
24,2024-02-01,01:00:00,1.77453,V ,Thursday,Winter
25,2024-02-01,02:00:00,4.06401,V ,Thursday,Winter
26,2024-02-01,03:00:00,1.3787,V ,Thursday,Winter
27,2024-02-01,04:00:00,1.0422,V ,Thursday,Winter
28,2024-02-01,05:00:00,1.23341,V ,Thursday,Winter
29,2024-02-01,06:00:00,1.13213,V ,Thursday,Winter
30,2024-02-01,07:00:00,1.95044,V ,Thursday,Winter
31,2024-02-01,08:00:00,2.42468,V ,Thursday,Winter
32,2024-02-01,09:00:00,2.70771,V ,Thursday,Winter
33,2024-02-01,10:00:00,6.65072,V ,Thursday,Winter
34,2024-02-01,11:00:00,9.42945,V ,Thursday,Winter
35,2024-02-01,12:00:00,7.8898,V ,Thursday,Winter
36,2024-02-01,13:00:00,11.95352,V ,Thursday,Winter
37,2024-02-01,14:00:00,9.14023,V ,Thursday,Winter
38,2024-02-01,15:00:00,12.15934,V ,Thursday,Winter
39,2024-02-01,16:00:00,9.35414,V ,Thursday,Winter
40,2024-02-01,17:00:00,27.21142,V ,Thursday,Winter
41,2024-02-01,18:00:00,31.69728,V ,Thursday,Winter
42,2024-02-01,19:00:00,25.24826,V ,Thursday,Winter
43,2024-02-01,20:00:00,28.74402,V ,Thursday,Winter
44,2024-02-01,21:00:00,25.26958,V ,Thursday,Winter
45,2024-02-01,22:00:00,19.60568,V ,Thursday,Winter
46,2024-02-01,23:00:00,17.23585,V ,Thursday,Winter
47,2024-02-01,24:00:00,13.65446,V ,Thursday,Winter
48,2024-03-01,01:00:00,12.47076,V ,Friday,Spring
49,2024-03-01,02:00:00,14.39884,V ,Friday,Spring
50,2024-03-01,03:00:00,19.63742,V ,Friday,Spring
51,2024-03-01,04:00:00,16.67225,V ,Friday,Spring
52,2024-03-01,05:00:00,15.00852,V ,Friday,Spring
53,2024-03-01,06:00:00,13.66262,V ,Friday,Spring
54,2024-03-01,07:00:00,16.20114,V ,Friday,Spring
55,2024-03-01,08:00:00,23.30453,V ,Friday,Spring
56,2024-03-01,09:00:00,37.42317,V ,Friday,Spring
57,2024-03-01,10:00:00,43.27102,V ,Friday,Spring
58,2024-03-01,11:00:00,37.14073,V ,Friday,Spring
59,2024-03-01,12:00:00,28.47945,V ,Friday,Spring
60,2024-03-01,13:00:00,18.72095,V ,Friday,Spring
61,2024-03-01,14:00:00,10.92277,V ,Friday,Spring
62,2024-03-01,15:00:00,13.58129,V ,Friday,Spring
63,2024-03-01,16:00:00,7.00021,V ,Friday,Spring
64,2024-03-01,17:00:00,8.43121,V ,Friday,Spring
65,2024-03-01,18:00:00,4.7543,V ,Friday,Spring
66,2024-03-01,19:00:00,3.65808,V ,Friday,Spring
67,2024-03-01,20:00:00,4.99343,V ,Friday,Spring
68,2024-03-01,21:00:00,6.71702,V ,Friday,Spring
69,2024-03-01,22:00:00,9.78727,V ,Friday,Spring
70,2024-03-01,23:00:00,8.73699,V ,Friday,Spring
71,2024-03-01,24:00:00,13.422,V ,Friday,Spring
72,2024-04-01,01:00:00,16.12839,V ,Monday,Spring
73,2024-04-01,02:00:00,11.27475,V ,Monday,Spring
74,2024-04-01,03:00:00,6.68379,V ,Monday,Spring
75,2024-04-01,04:00:00,7.78431,V ,Monday,Spring
76,2024-04-01,05:00:00,7.97383,V ,Monday,Spring
77,2024-04-01,06:00:00,8.64558,V ,Monday,Spring
78,2024-04-01,07:00:00,14.2401,V ,Monday,Spring
79,2024-04-01,08:00:00,18.81856,V ,Monday,Spring
80,2024-04-01,09:00:00,28.0177,V ,Monday,Spring
81,2024-04-01,10:00:00,21.4737,V ,Monday,Spring
82,2024-04-01,11:00:00,22.26275,V ,Monday,Spring
83,2024-04-01,12:00:00,20.55056,V ,Monday,Spring
84,2024-04-01,13:00:00,16.64573,V ,Monday,Spring
85,2024-04-01,14:00:00,16.85025,V ,Monday,Spring
86,2024-04-01,15:00:00,20.71098,V ,Monday,Spring
87,2024-04-01,16:00:00,27.39379,V ,Monday,Spring
88,2024-04-01,17:00:00,36.05249,V ,Monday,Spring
89,2024-04-01,18:00:00,49.81892,V ,Monday,Spring
90,2024-04-01,19:00:00,57.96456,V ,Monday,Spring
91,2024-04-01,20:00:00,53.80052,V ,Monday,Spring
92,2024-04-01,21:00:00,35.72888,V ,Monday,Spring
93,2024-04-01,22:00:00,43.33965,V ,Monday,Spring
94,2024-04-01,23:00:00,40.7577,V ,Monday,Spring
95,2024-04-01,24:00:00,39.57551,V ,Monday,Spring
96,2024-05-01,01:00:00,39.82737,V ,Wednesday,Spring
97,2024-05-01,02:00:00,21.61305,V ,Wednesday,Spring
98,2024-05-01,03:00:00,17.49672,V ,Wednesday,Spring
99,2024-05-01,04:00:00,12.86252,V ,Wednesday,Spring
100,2024-05-01,05:00:00,12.96013,V ,Wednesday,Spring
101,2024-05-01,06:00:00,15.46558,V ,Wednesday,Spring
102,2024-05-01,07:00:00,19.2661,V ,Wednesday,Spring
103,2024-05-01,08:00:00,31.93516,V ,Wednesday,Spring
104,2024-05-01,09:00:00,41.55854,V ,Wednesday,Spring
105,2024-05-01,10:00:00,44.48296,V ,Wednesday,Spring
106,2024-05-01,11:00:00,42.61171,V ,Wednesday,Spring
107,2024-05-01,12:00:00,31.88684,V ,Wednesday,Spring
108,2024-05-01,13:00:00,20.81776,V ,Wednesday,Spring
109,2024-05-01,14:00:00,14.61005,V ,Wednesday,Spring
110,2024-05-01,15:00:00,19.33066,V ,Wednesday,Spring
111,2024-05-01,16:00:00,24.47839,V ,Wednesday,Spring
112,2024-05-01,17:00:00,35.70383,V ,Wednesday,Spring
113,2024-05-01,18:00:00,27.39922,V ,Wednesday,Spring
114,2024-05-01,19:00:00,20.00032,V ,Wednesday,Spring
115,2024-05-01,20:00:00,27.61991,V ,Wednesday,Spring
116,2024-05-01,21:00:00,28.95284,V ,Wednesday,Spring
117,2024-05-01,22:00:00,27.83127,V ,Wednesday,Spring
118,2024-05-01,23:00:00,18.8525,V ,Wednesday,Spring
119,2024-05-01,24:00:00,14.6207,V ,Wednesday,Spring
120,2024-06-01,01:00:00,11.52883,V ,Saturday,Summer
121,2024-06-01,02:00:00,5.47705,V ,Saturday,Summer
122,2024-06-01,03:00:00,10.32665,V ,Saturday,Summer
123,2024-06-01,04:00:00,6.35512,V ,Saturday,Summer
124,2024-06-01,05:00:00,3.82042,V ,Saturday,Summer
125,2024-06-01,06:00:00,3.20151,V ,Saturday,Summer
126,2024-06-01,07:00:00,4.3454,V ,Saturday,Summer
127,2024-06-01,08:00:00,5.77666,V ,Saturday,Summer
128,2024-06-01,09:00:00,10.51266,V ,Saturday,Summer
129,2024-06-01,10:00:00,11.8793,V ,Saturday,Summer
130,2024-06-01,11:00:00,10.56013,V ,Saturday,Summer
131,2024-06-01,12:00:00,15.75564,V ,Saturday,Summer
132,2024-06-01,13:00:00,14.65593,V ,Saturday,Summer
133,2024-06-01,14:00:00,9.73105,V ,Saturday,Summer
134,2024-06-01,15:00:00,9.0498,V ,Saturday,Summer
135,2024-06-01,16:00:00,14.06015,V ,Saturday,Summer
136,2024-06-01,17:00:00,22.61141,V ,Saturday,Summer
137,2024-06-01,18:00:00,28.99212,V ,Saturday,Summer
138,2024-06-01,19:00:00,29.71527,V ,Saturday,Summer
139,2024-06-01,20:00:00,15.35187,V ,Saturday,Summer
140,2024-06-01,21:00:00,13.63138,V ,Saturday,Summer
141,2024-06-01,22:00:00,16.55481,V ,Saturday,Summer
142,2024-06-01,23:00:00,13.72903,V ,Saturday,Summer
143,2024-06-01,24:00:00,6.54855,V ,Saturday,Summer
144,2024-07-01,01:00:00,4.3322,V ,Monday,Summer
145,2024-07-01,02:00:00,4.143,V ,Monday,Summer
146,2024-07-01,03:00:00,4.11167,V ,Monday,Summer
147,2024-07-01,04:00:00,3.14962,V ,Monday,Summer
148,2024-07-01,05:00:00,9.13933,V ,Monday,Summer
149,2024-07-01,06:00:00,10.72431,V ,Monday,Summer
150,2024-07-01,07:00:00,7.17285,V ,Monday,Summer
151,2024-07-01,08:00:00,15.13458,V ,Monday,Summer
152,2024-07-01,09:00:00,17.17839,V ,Monday,Summer
153,2024-07-01,10:00:00,10.87898,V ,Monday,Summer
154,2024-07-01,11:00:00,28.80297,V ,Monday,Summer
155,2024-07-01,12:00:00,27.54601,V ,Monday,Summer
156,2024-07-01,13:00:00,20.07696,V ,Monday,Summer
157,2024-07-01,14:00:00,19.61813,V ,Monday,Summer
158,2024-07-01,15:00:00,32.68264,V ,Monday,Summer
159,2024-07-01,16:00:00,45.16679,V ,Monday,Summer
160,2024-07-01,17:00:00,50.60757,V ,Monday,Summer
161,2024-07-01,18:00:00,49.12879,V ,Monday,Summer
162,2024-07-01,19:00:00,37.41632,V ,Monday,Summer
163,2024-07-01,20:00:00,14.63506,V ,Monday,Summer
164,2024-07-01,21:00:00,20.27399,V ,Monday,Summer
165,2024-07-01,22:00:00,11.53096,V ,Monday,Summer
166,2024-07-01,23:00:00,8.89049,V ,Monday,Summer
167,2024-07-01,24:00:00,12.25767,V ,Monday,Summer
